Rank,Merit Based Standings,CFB Playoff Committee Ranking,AP Poll,SP+
1,Oregon,Oregon,Oregon,Ohio State
2,Notre Dame,Texas,Texas,Oregon
3,Penn State,Penn State,Penn State,Ole Miss
4,Texas,Notre Dame,Notre Dame,Texas
5,SMU,Georgia,Georgia,Alabama
6,Georgia,Ohio State,Tennessee,Penn State
7,Indiana,Tennessee,Ohio State,Georgia
8,Ohio State,SMU,SMU,Tennessee
9,Iowa State,Indiana,Indiana,Notre Dame
10,BYU,Boise State,Boise State,Miami
11,Boise State,Alabama,Alabama,Indiana
12,Miami,Miami,Arizona State,SMU
13,Alabama,Ole Miss,South Carolina,South Carolina
14,Ole Miss,South Carolina,Miami,Texas A&M
15,Tennessee,Arizona State,Ole Miss,Clemson
16,South Carolina,Iowa State,Iowa State,Iowa
17,Arizona State,Clemson,BYU,LSU
18,UNLV,BYU,Clemson,Louisville
19,Clemson,Missouri,UNLV,Kansas State
20,Louisville,UNLV,Colorado,BYU
21,Louisiana,Illinois,Illinois,Boise State
22,Syracuse,Syracuse,Missouri,Florida
23,Colorado,Colorado,Syracuse,Missouri
24,Kansas State,Army,Army,Iowa State
25,Illinois,Memphis,Memphis,USC
