Week,Team 1,Team 2,Result,Margin,Road?,Win,Qual Win,SOS,Conf,Total
1,Iowa State,Kansas State,WIN,3,Road,4,2,0,1,7
1,Kansas,Fresno State,WIN,24,Home,4,2,1,0,7
1,Western Kentucky,Sam Houston,WIN,17,Home,4,2,0,0,6
1,Hawai'i,Stanford,WIN,3,Home,4,0,0,1,5
1,UNLV,FCS,WIN,7,Home,4,0,0,0,4
1,Kansas State,Iowa State,LOSS,3,Home,0,0,0,0,0
1,Fresno State,Kansas,LOSS,24,Road,0,0,0,0,0
1,Sam Houston,Western Kentucky,LOSS,17,Road,0,0,0,0,0
1,Stanford,Hawai'i,LOSS,3,Road,0,0,0,0,0
2,Nebraska,Cincinnati,WIN,3,Road,4,2,2,1,9
2,Auburn,Baylor,WIN,14,Road,4,2,2,1,9
2,Georgia Tech,Colorado,WIN,7,Road,4,2,1,1,8
2,Tulane,Northwestern,WIN,20,Home,4,2,1,1,8
2,Florida State,Alabama,WIN,14,Home,4,2,1,1,8
2,LSU,Clemson,WIN,7,Road,4,2,1,1,8
2,Arizona,Hawai'i,WIN,34,Home,4,2,2,0,8
2,TCU,North Carolina,WIN,34,Road,4,2,1,1,8
2,South Florida,Boise State,WIN,27,Home,4,2,1,0,7
2,Minnesota,Buffalo,WIN,13,Home,4,2,1,0,7
2,Tennessee,Syracuse,WIN,19,Home,4,2,0,1,7
2,Rice,Louisiana,WIN,2,Road,4,2,1,0,7
2,USC,Missouri State,WIN,60,Home,4,2,1,0,7
2,Virginia,Coastal Carolina,WIN,41,Home,4,2,1,0,7
2,Indiana,Old Dominion,WIN,13,Home,4,2,1,0,7
2,California,Oregon State,WIN,19,Road,4,2,0,1,7
2,Utah,UCLA,WIN,33,Road,4,2,0,1,7
2,South Carolina,Virginia Tech,WIN,13,Road,4,2,0,1,7
2,Houston,FCS,WIN,27,Home,4,2,0,0,6
2,Oklahoma State,FCS,WIN,20,Home,4,2,0,0,6
2,Duke,FCS,WIN,28,Home,4,2,0,0,6
2,Missouri,FCS,WIN,55,Home,4,2,0,0,6
2,Wyoming,Akron,WIN,10,Road,4,2,0,0,6
2,Delaware,FCS,WIN,18,Home,4,2,0,0,6
2,Bowling Green,FCS,WIN,19,Home,4,2,0,0,6
2,UL Monroe,FCS,WIN,29,Home,4,2,0,0,6
2,Wisconsin,Miami (OH),WIN,17,Home,4,2,0,0,6
2,San Diego State,FCS,WIN,42,Home,4,2,0,0,6
2,Kansas,FCS,WIN,39,Home,4,2,0,0,6
2,App State,Charlotte,WIN,23,Road,4,2,0,0,6
2,Michigan State,Western Michigan,WIN,17,Home,4,2,0,0,6
2,Illinois,FCS,WIN,49,Home,4,2,0,0,6
2,Florida International,FCS,WIN,33,Home,4,2,0,0,6
2,Central Michigan,San José State,WIN,2,Road,4,2,0,0,6
2,UNLV,Sam Houston,WIN,17,Road,4,2,0,0,6
