Standing,Team,Conference,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Total Points
1,Ohio State,Big 10,0,8,6,8,0,9,8,9,8,0,8,7,7,8,10,96
2,Indiana,Big 10,0,8,8,6,9,9,0,10,7,7,7,8,8,0,7,94
3,BYU,Big 12,0,6,7,0,8,7,8,10,8,10,0,0,10,9,8,91
4,Georgia,SEC,0,7,6,9,0,0,8,8,8,0,8,8,10,6,10,88
5,Texas Tech,Big 12,0,6,7,6,10,0,10,8,0,7,8,10,8,0,8,88
6,Oregon,Big 10,0,6,7,8,6,8,0,0,8,8,0,9,8,10,9,87
7,Alabama,SEC,0,0,6,8,0,10,10,9,9,8,0,8,0,6,8,82
8,Texas A&M,SEC,0,7,7,10,0,6,8,8,7,8,0,9,6,6,0,82
9,Miami,ACC,0,8,6,9,8,0,8,0,0,7,0,7,9,7,10,79
10,Notre Dame,Independent,0,0,0,0,7,7,8,9,8,0,7,8,10,7,7,78
11,Oklahoma,SEC,0,6,10,7,6,0,7,0,8,0,9,0,10,9,6,78
12,Ole Miss,SEC,0,6,8,5,9,6,0,5,0,10,8,6,6,0,8,77
13,North Texas,American,0,6,8,7,7,6,0,0,7,6,8,0,6,7,7,75
14,Utah,Big 12,0,7,6,6,0,8,0,9,0,7,9,0,8,6,8,74
15,Virginia,ACC,0,7,0,6,7,6,10,0,5,7,9,0,9,0,7,73
16,James Madison,Sun Belt,0,6,0,0,6,7,6,5,8,0,7,7,6,5,7,70
17,Vanderbilt,SEC,0,6,7,8,6,7,0,0,6,7,0,6,0,8,9,70
18,USC,Big 10,0,7,7,7,7,0,0,10,0,0,9,8,7,0,7,69
19,Michigan,Big 10,0,8,0,7,9,0,8,0,9,7,5,0,8,7,0,68
20,Texas,SEC,0,0,6,6,6,0,0,10,8,8,8,0,0,7,8,67
21,Georgia Tech,ACC,0,7,6,7,7,9,0,7,9,7,0,0,7,0,0,66
22,Arizona,Big 12,0,8,6,6,0,0,7,0,0,0,7,6,9,8,9,66
23,Houston,Big 12,0,6,7,7,0,6,0,7,8,9,0,8,0,0,8,66
24,Tulane,American,0,8,6,7,0,6,0,6,5,0,0,8,6,7,6,65
25,Iowa State,Big 12,8,6,7,7,0,10,0,0,0,0,0,10,0,8,7,63
26,Louisville,ACC,0,6,9,0,6,10,0,0,10,7,7,0,0,0,8,63
27,TCU,Big 12,0,7,0,6,10,0,7,0,6,8,0,0,0,10,9,63
28,South Florida,American,0,8,8,0,6,0,6,9,6,0,0,7,0,6,7,63
29,SMU,ACC,0,6,0,7,0,0,7,7,9,0,8,7,0,10,0,61
30,Pittsburgh,ACC,0,6,7,0,0,0,7,8,7,9,7,0,0,10,0,61
31,Arizona State,Big 12,0,6,0,7,8,8,0,0,8,0,10,0,6,7,0,60
32,Illinois,Big 10,0,6,9,8,0,8,7,0,0,0,8,0,7,0,6,59
33,San Diego State,Mountain West,0,6,0,0,9,6,6,6,0,7,6,0,6,6,0,58
34,UNLV,Mountain West,4,6,5,0,7,0,6,4,0,0,0,6,5,8,6,57
35,Washington,Big 10,0,6,6,0,7,0,7,8,0,9,0,0,7,7,0,57
36,Old Dominion,Sun Belt,0,0,6,7,0,6,7,0,0,4,6,0,8,7,6,57
37,Wake Forest,ACC,0,6,6,0,0,0,7,6,0,8,0,10,7,7,0,57
38,Iowa,Big 10,0,6,0,6,8,0,0,8,6,8,0,0,0,5,9,56
39,Missouri,SEC,0,6,8,7,6,6,0,0,8,0,0,0,8,0,7,56
40,Duke,ACC,0,6,0,0,9,7,9,0,0,0,9,0,0,7,9,56
41,Tennessee,SEC,0,7,6,0,6,8,0,5,0,8,0,0,6,8,0,54
42,Clemson,ACC,0,0,8,0,0,0,7,7,0,0,0,8,10,6,8,54
43,Toledo,MAC,0,0,8,6,0,7,0,0,7,0,0,6,7,6,7,54
44,UConn,Independent,0,6,0,0,4,7,7,0,7,0,6,7,4,6,0,54
45,Navy,American,0,6,6,6,0,5,4,7,0,4,0,0,7,0,8,53
46,Boise State,Mountain West,0,0,6,0,6,6,0,8,8,6,0,0,0,6,7,53
47,NC State,ACC,0,6,8,9,0,0,6,0,0,0,10,0,0,6,7,52
48,New Mexico,Mountain West,0,0,4,7,0,6,0,0,4,7,8,0,4,6,6,52
49,Kennesaw State,Conf USA,0,0,0,6,5,4,0,7,0,7,6,6,0,5,6,52
50,Memphis,American,0,6,6,8,5,6,6,0,0,7,7,0,0,0,0,51
51,Western Kentucky,Conf USA,6,6,0,0,6,7,7,0,0,7,6,0,6,0,0,51
52,East Carolina,American,0,0,6,7,0,7,0,0,6,0,7,6,6,0,6,51
53,California,ACC,0,6,6,8,0,7,0,0,5,0,0,10,0,0,8,50
54,Hawai'i,Mountain West,5,0,6,6,0,6,0,7,6,0,0,8,0,0,6,50
55,Troy,Sun Belt,0,6,0,0,7,0,4,7,6,7,0,0,0,6,7,50
56,Nebraska,Big 10,0,9,7,6,0,0,7,7,0,6,0,7,0,0,0,49
57,Cincinnati,Big 12,0,0,6,6,0,8,8,6,7,8,0,0,0,0,0,49
58,Ohio,MAC,0,0,6,0,6,6,0,0,6,6,0,5,0,6,7,48
59,Jacksonville State,Conf USA,0,0,4,0,6,0,0,6,7,0,6,6,6,0,6,47
60,Western Michigan,MAC,0,0,0,0,6,6,6,6,0,0,5,0,6,6,6,47
61,Southern Miss,Sun Belt,0,0,6,6,0,8,0,7,7,6,0,7,0,0,0,47
62,LSU,SEC,0,9,7,6,6,0,0,6,0,0,0,0,5,6,0,45
63,Fresno State,Mountain West,0,0,6,6,8,0,4,0,0,0,8,0,6,0,6,44
64,Minnesota,Big 10,0,7,6,0,0,6,0,5,9,0,5,0,0,0,6,44
65,Miami (OH),MAC,0,0,0,0,0,6,6,7,6,6,0,0,0,7,6,44
66,Central Michigan,MAC,0,6,0,0,6,6,0,0,6,6,0,0,7,7,0,44
67,Penn State,Big 10,0,6,7,6,0,0,0,0,0,0,0,0,7,9,8,43
68,Kansas State,Big 12,0,4,0,0,0,8,0,10,0,8,0,0,7,0,5,42
69,UTSA,American,0,0,0,6,6,0,0,7,0,0,9,0,6,8,0,42
70,Missouri State,Conf USA,0,0,7,0,6,0,0,6,0,6,5,6,6,0,0,42
71,Louisiana Tech,Conf USA,0,6,0,6,5,6,0,0,0,0,6,0,0,4,7,40
72,Florida International,Conf USA,0,6,0,4,0,0,0,0,8,0,0,6,4,6,6,40
73,Washington State,Pac 12,0,4,8,0,0,6,0,0,0,8,0,0,7,0,6,39
74,Florida State,ACC,0,10,6,0,7,0,0,0,0,0,9,0,7,0,0,39
75,Army,American,0,0,8,0,0,0,6,6,0,0,6,5,0,0,7,38
76,Texas State,Sun Belt,0,6,7,0,6,0,0,0,0,0,0,0,7,6,6,38
77,Northwestern,Big 10,0,0,6,0,0,5,6,8,7,0,0,0,0,6,0,38
78,Baylor,Big 12,0,0,10,6,0,7,6,0,0,0,8,0,0,0,0,37
79,Coastal Carolina,Sun Belt,0,0,6,0,6,0,0,6,6,0,7,6,0,0,0,37
80,Georgia Southern,Sun Belt,0,0,0,6,6,0,0,0,6,0,0,6,5,0,7,36
81,Kansas,Big 12,7,6,0,0,8,0,8,0,0,0,7,0,0,0,0,36
82,Arkansas State,Sun Belt,0,6,0,0,0,0,5,0,6,5,8,0,0,0,6,36
83,Utah State,Mountain West,0,6,0,6,6,0,0,0,4,0,0,6,0,7,0,35
84,Kentucky,SEC,0,6,0,6,0,0,0,0,0,0,8,8,6,0,0,34
85,Delaware,Conf USA,0,6,0,6,7,0,0,0,0,4,0,5,0,0,6,34
86,Louisiana,Sun Belt,0,0,6,0,0,5,0,0,0,0,6,5,0,7,4,33
87,Rutgers,Big 10,0,6,7,6,0,0,0,0,0,7,0,7,0,0,0,33
88,Auburn,SEC,0,8,6,6,0,0,0,0,0,7,0,0,0,6,0,33
89,Mississippi State,SEC,0,7,7,6,6,0,0,0,0,0,7,0,0,0,0,33
90,UCF,Big 12,0,6,6,0,7,0,0,0,8,0,0,0,0,5,0,32
91,Marshall,Sun Belt,0,0,0,6,6,0,0,8,5,0,0,0,6,0,0,31
92,Akron,MAC,0,0,0,0,6,0,5,0,0,7,0,6,0,6,0,30
93,Buffalo,MAC,0,0,6,7,0,0,4,0,6,0,6,0,0,0,0,29
94,West Virginia,Big 12,0,6,0,8,0,0,0,0,0,0,10,5,0,0,0,29
95,Wisconsin,Big 10,0,7,6,0,0,0,0,0,0,0,0,7,0,9,0,29
96,Rice,American,0,7,0,6,6,0,0,0,0,6,0,4,0,0,0,29
97,Temple,American,0,6,6,0,0,0,5,0,6,6,0,0,0,0,0,29
98,South Carolina,SEC,0,7,6,0,0,8,0,0,0,0,0,0,0,7,0,28
99,Florida,SEC,0,6,0,0,0,0,8,0,6,0,0,0,0,0,8,28
100,Kent State,MAC,0,4,0,0,0,0,0,6,0,4,0,0,7,0,6,27
101,Maryland,Big 10,0,6,6,6,8,0,0,0,0,0,0,0,0,0,0,26
102,Tulsa,American,0,6,0,0,7,0,0,0,0,0,0,0,6,7,0,26
103,App State,Sun Belt,0,6,4,0,0,0,4,6,0,0,0,0,0,5,0,25
104,Florida Atlantic,American,0,0,6,0,0,0,7,6,0,0,0,6,0,0,0,25
105,North Carolina,ACC,0,0,6,6,0,0,0,0,0,0,7,5,0,0,0,24
106,Michigan State,Big 10,0,8,5,6,0,0,0,0,0,0,0,0,0,0,5,24
107,Stanford,ACC,0,0,0,5,0,4,0,0,6,0,0,0,0,9,0,24
108,Liberty,Conf USA,0,6,0,0,0,0,0,6,4,0,7,0,0,0,0,23
109,South Alabama,Sun Belt,0,6,0,0,0,0,0,0,0,6,0,0,6,5,0,23
110,Wyoming,Mountain West,0,7,6,0,0,0,0,4,0,6,0,0,0,0,0,23
111,Virginia Tech,ACC,0,0,0,0,6,9,0,0,0,7,0,0,0,0,0,22
112,Bowling Green,MAC,0,6,0,4,0,0,0,6,0,0,0,0,0,0,6,22
113,Air Force,Mountain West,0,6,0,0,0,0,0,0,4,0,0,6,0,0,6,22
114,Ball State,MAC,0,0,0,4,0,0,6,0,7,0,0,5,0,0,0,22
115,New Mexico State,Conf USA,0,6,4,0,0,0,6,0,0,0,0,0,0,6,0,22
116,Syracuse,ACC,0,0,6,6,9,0,0,0,0,0,0,0,0,0,0,21
117,Colorado,Big 12,0,0,7,0,6,0,0,8,0,0,0,0,0,0,0,21
118,UAB,American,0,4,0,5,0,0,0,0,6,0,0,0,0,0,6,21
119,UL Monroe,Sun Belt,0,6,0,0,6,7,0,0,0,0,0,0,0,0,0,19
120,Eastern Michigan,MAC,0,0,0,0,5,0,0,4,0,0,0,4,6,0,0,19
121,UCLA,Big 10,0,0,0,0,0,0,6,7,5,0,0,0,0,0,0,18
122,Middle Tennessee,Conf USA,0,0,0,6,0,0,0,0,0,0,0,0,0,6,6,18
123,Northern Illinois,MAC,0,4,0,0,0,0,0,0,0,6,0,0,6,0,0,16
124,San José State,Mountain West,0,0,0,0,4,0,6,0,0,0,6,0,0,0,0,16
125,Nevada,Mountain West,0,0,4,0,0,0,0,0,0,0,0,0,6,6,0,16
126,Boston College,ACC,0,6,0,0,0,0,0,0,0,0,0,0,0,0,7,13
127,Arkansas,SEC,0,6,7,0,0,0,0,0,0,0,0,0,0,0,0,13
128,UTEP,Conf USA,0,0,6,0,0,0,0,0,6,0,0,0,0,0,0,12
129,Purdue,Big 10,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,12
130,Sam Houston,Conf USA,0,0,0,0,0,0,0,0,0,0,0,6,5,0,0,11
131,Colorado State,Mountain West,0,0,4,0,0,0,0,7,0,0,0,0,0,0,0,11
132,Oregon State,Pac 12,0,0,0,0,0,0,0,0,6,0,5,0,0,0,0,11
133,Oklahoma State,Big 12,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,6
134,Georgia State,Sun Belt,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,6
135,Charlotte,American,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4
136,Massachusetts,MAC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
